text_curat,label,Real,Prezis,Real_Text,Prezis_Text
i can probably find some of them are the ticket s on there,0,0,1,negative,neutral
oh well ill get to cancun eventually,2,2,1,positive,neutral
and btwn gate a amp a i lost a diamond earring dayjustgotworse pls have maintenance look for it,1,1,0,neutral,negative
ill pass along the advice you guys rock,2,2,1,positive,neutral
or im sure her business will go else where for airline travel her name is kathryn sotelo,0,0,1,negative,neutral
my flight to dfw from lit on my way to pdx tomorrow was cancelled flighted can you help me,0,0,1,negative,neutral
traditionally used sledge hammer  low  taking share from driving  now scalpel approach through data science  anamarketers,1,1,0,neutral,negative
hey i missed my outbound flight  can i still use my return ticket,1,1,0,neutral,negative
a brilliant brisk am in boston in cue for vx,1,1,2,neutral,positive
bag is supposedly here in boston,0,0,1,negative,neutral
im makingloveoutofnothingatall on my brandloveaffair to lax,2,2,1,positive,neutral
you should have assigned seating because now my cousin amp i probably cant sit together on our flight tomorrow thanks,1,1,0,neutral,negative
ticketh biz trvlno wifimissed con fltnext onehmissed meeting food voucherhotel chkoutfltno wifihotel,0,0,1,negative,neutral
will do,2,2,1,positive,neutral
ill be checking often most probably when they hand the oscars out to the nerds geeks and badly dressed,1,1,0,neutral,negative
your message was delayed i just responded,1,1,0,neutral,negative
smf to jfk,2,2,1,positive,neutral
try harder take a winners attitude to your work,1,1,0,neutral,negative
includes   inclement weather may impact scheduled service in reflight booking problems options available,0,0,1,negative,neutral
of course you are because thats your companies job you guys failed at it in the first place upgrade me and then well talk,1,1,0,neutral,negative
if i had my tux itd be a date umosaicmecrazy,2,2,1,positive,neutral
they told to check with the airline regulation first so that is why i contacted you,1,1,0,neutral,negative
were having  grandbabies in  weeks  will travel to dc for the births thank you for the reasonable fares  see you saturday,2,2,1,positive,neutral
thanks  i actually made it my connection flight was delayed  guess all delays are not a bad thing,2,2,0,positive,negative
big shoutout to the crews on  bosgtjfk amp  jfkgtroc amp gate crews at c bos amp  jfk long day of delays made better by them,2,2,0,positive,negative
bummer might have to go with  card instead ty for response though,0,0,1,negative,neutral
about time mobileboarding is a must,1,1,0,neutral,negative
thanks for having ground crews that are surprised when flights arrive beingsuckontarmacsucks,0,0,2,negative,positive
thanks   it is good to air on the side of caution,1,1,2,neutral,positive
okay thanks,1,1,2,neutral,positive
thank you for the apology,1,1,2,neutral,positive
yes thanks but took forever,0,0,2,negative,positive
looking for status of flight  schedule for  am tomorrow morning thank you,1,1,2,neutral,positive
i cant i dont have acces to a phone rn my iphone broke  would rather change it now then late flightr,1,1,0,neutral,negative
whats your current checked bag price policy  i fly this coming week and couldnt find anything definitive,1,1,0,neutral,negative
plus what about food and taxis,0,0,1,negative,neutral
ua flight  sfo to lax took my carry on at gate im group  overhead bins are empty,1,1,0,neutral,negative
since we are leaving tomorrow to miami can you do one thing right and deliver the bags to the airport,0,0,1,negative,neutral
group  line gets longer every week almost no one left for groups  anymore time to make explorer card group,1,1,0,neutral,negative
personal device entertainment system is great but with app crashing every  mins im glad its free for now,0,0,2,negative,positive
are there any plans for a short haul airline in europe would defiantly fly with you guys,2,2,1,positive,neutral
i flew on a flight about  months ago me and my girlfriend got away with having sex in a restroom is it allowed now,1,1,0,neutral,negative
any updates on flight  from orf to phl no one at gate,0,0,1,negative,neutral
you definitely will,2,2,1,positive,neutral
are you ever looking for interns,1,1,0,neutral,negative
eh it happens i think ill survive  thanks,1,1,2,neutral,positive
yes please i am newly married and trying to update my last name on a preexisting international flight it seems so easy but,0,0,1,negative,neutral
you know what would be awesome providing us with complimentary entertainment on your flights especially those longer than  hours,1,1,2,neutral,positive
you bet,2,2,1,positive,neutral
lets just say idontwannalivewithoutyourlove  itwasminttobe bestinclasssocial thankyou travel business,1,1,2,neutral,positive
flight  tomorrow  am status please thanks,1,1,2,neutral,positive
i am here  what is your resolution,0,0,1,negative,neutral
why deice before taxing maybe it makestoomuchsense  shouldhaveflowndelta unitedsucks,1,1,0,neutral,negative
im in same boat am flight to jacksonville get me out of here,0,0,1,negative,neutral
thanks for your attention ive been flying southwest for  years and havent had this issue in the past,2,2,0,positive,negative
at lax amp just got off the phone wreservations every flight thatd get me to bos before  am tmrw is apparently unavailable,1,1,0,neutral,negative
find a way to cancelled flight flight,0,0,1,negative,neutral
aa  mins for priority bags to arrive now late flight for evening plans delta  min bag guarantee anyone,0,0,1,negative,neutral
days maybe,0,0,1,negative,neutral
i have a roundtrip ticket now and i need to change one leg of the trip to a nearby airport  not possible via website,1,1,0,neutral,negative
oops sorry done,1,1,2,neutral,positive
i do i was on ua  lax to den  we are scheduled to land lax   am  please rebook to denver  best flight,0,0,1,negative,neutral
thanks for the response i know its not your fault but im in ord in t and hungry if you want to stop by,0,0,2,negative,positive
suggest you failures make a huge donation to   charlotte nc as they provided great customer service today unlike you,0,0,2,negative,positive
firstclass to london on my way to londonfashionweek lfw,2,2,1,positive,neutral
